doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
chinh-sach-ban-hang-seller-pyloherb,data/ecommerce/chinh-sach-ban-hang-seller-pyloherb.md,Chính Sách Nhà Bán Hàng | PyLoHerb,https://pyloherb.com/2021/05/26/chinh-sach-nha-ban-hang/,2026-09-20,not-stated,public-source
doi-tra-hang-adathang,data/ecommerce/doi-tra-hang-adathang.md,Chính sách đổi trả hàng hóa,https://adathang.vn/chinh-sach/chinh-sach-doi-tra-hang-hoa,2026-09-20,not-stated,public-source
doi-tra-hang-basicgalaxy,data/ecommerce/doi-tra-hang-basicgalaxy.md,Chính sách Đổi - Trả hàng hóa,https://basicgalaxy.vn/chinh-sach-doi-tra,2026-09-20,not-stated,public-source
doi-tra-hang-conmuanho,data/ecommerce/doi-tra-hang-conmuanho.md,Chính sách đổi trả hàng hóa – Cơn Mưa Nhỏ,https://conmuanho.com.vn/pages/chinh-sach-doi-tra-hang-hoa,2026-09-20,not-stated,public-source
doi-tra-hang-glelectric,data/ecommerce/doi-tra-hang-glelectric.md,Chính sách đổi trả hàng hóa,https://glelectric.vn/chinh-sach-doi-tra-hang-hoa,2026-09-20,not-stated,public-source
doi-tra-hang-hiclean,data/ecommerce/doi-tra-hang-hiclean.md,Chính sách đổi trả hàng hóa - HiClean - Thương hiệu máy vệ sinh công nghiệp số 1 Việt Nam,https://hiclean.com.vn/ho-tro-khach-hang/chinh-sach-doi-tra-hang-hoa,2026-09-20,not-stated,public-source
doi-tra-hang-newcolor,data/ecommerce/doi-tra-hang-newcolor.md,"Chính sách đổi, trả hàng và hoàn tiền",https://sonnewcolor.com/chinh-sach-ban-hang/chinh-sach-doi-tra-hang-va-hoan-tien-2254.html,2026-09-20,not-stated,public-source
doi-tra-hang-smarthomekit,data/ecommerce/doi-tra-hang-smarthomekit.md,Quy định đổi trả hàng và hoàn tiền,https://smarthomekit.vn/quy-dinh-doi-tra-hang-va-hoan-tien/,2026-09-20,not-stated,public-source
doi-tra-hang-thegioinem,data/ecommerce/doi-tra-hang-thegioinem.md,Chính sách đổi trả hoàn tiền tại Thegioinem.com,https://thegioinem.com/chinh-sach-doi-tra-va-hoan-tien,2026-09-20,not-stated,public-source
doi-tra-hang-xtrend,data/ecommerce/doi-tra-hang-xtrend.md,Chính sách kiểm hàng - đổi trả hàng hóa - Công ty Cổ phần Phân phối XTREND,https://xtrend.vn/chinh-sach-doi-tra-hang/,2026-09-20,not-stated,public-source
