url,doc_id,title,audience,category,language,document_version,license_or_permission
https://pyloherb.com/2021/05/26/chinh-sach-nha-ban-hang/,chinh-sach-ban-hang-seller-pyloherb,,seller,chinh-sach-ban-hang
"https://conmuanho.com.vn/pages/chinh-sach-doi-tra-hang-hoa ",doi-tra-hang-conmuanho,,buyer,doi-tra-hang
https://smarthomekit.vn/quy-dinh-doi-tra-hang-va-hoan-tien/,doi-tra-hang-smarthomekit,,buyer,doi-tra-hang
https://basicgalaxy.vn/chinh-sach-doi-tra,doi-tra-hang-basicgalaxy,,buyer,doi-tra-hang
"https://xtrend.vn/chinh-sach-doi-tra-hang/   ",doi-tra-hang-xtrend,,buyer,doi-tra-hang
https://hiclean.com.vn/ho-tro-khach-hang/chinh-sach-doi-tra-hang-hoa,doi-tra-hang-hiclean,,buyer,doi-tra-hang
https://glelectric.vn/chinh-sach-doi-tra-hang-hoa,doi-tra-hang-glelectric,,buyer,doi-tra-hang
https://adathang.vn/chinh-sach/chinh-sach-doi-tra-hang-hoa,doi-tra-hang-adathang,,buyer,doi-tra-hang
https://thegioinem.com/chinh-sach-doi-tra-va-hoan-tien,doi-tra-hang-thegioinem,,buyer,doi-tra-hang
https://dasshu.vn/chinh-sach-doi-tra-va-hoan-tien/,doi-tra-hang-dasshu,,buyer,doi-tra-hang
https://sonnewcolor.com/chinh-sach-ban-hang/chinh-sach-doi-tra-hang-va-hoan-tien-2254.html,doi-tra-hang-newcolor,,buyer,doi-tra-hang
https://tadico.vn/huong-dan-doi-tra-va-hoan-tien,doi-tra-hang-tadico,,buyer,doi-tra-hang
